source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,1722,기초무기화합물,0.0004416755546404387
0111,벼,1723,"염료, 안료 및 유연제",0.0005364887904653786
0111,벼,1801,합성수지,0.0005357174056562524
0111,벼,1802,합성고무,0.0004817963239788518
0111,벼,1900,화학섬유,0.0006202793010692315
0111,벼,2000,의약품,0.0009401862567242999
0111,벼,2101,비료 및 질소화합물,0.0006266890142226237
0111,벼,2102,살충제 및 농약,0.0006426409528026732
0111,벼,2211,도료,0.0005463919501818272
0111,벼,2212,잉크,0.0006507494983185878
0111,벼,2221,"비누, 세제 및 치약",0.000826205815137458
0111,벼,2222,화장품,0.0008837325690606614
0111,벼,2291,접착제 및 젤라틴,0.0009880491113063532
0111,벼,2292,사진용 화학제품 및 감광재료,0.0008163217632009138
0111,벼,2299,기타 화학제품,0.00038018710386467
0111,벼,2310,플라스틱 1차제품,0.0005601253537701165
0111,벼,2391,건축용 플라스틱제품,0.0006971862872078044
0111,벼,2392,포장용 플라스틱제품,0.0006252893928876893
0111,벼,2393,운송장비 및 조립용 플라스틱제품,0.0006809349861839381
0111,벼,2399,기타 플라스틱제품,0.000601116617511311
0111,벼,2410,타이어 및 튜브,0.0004485630043623547
0111,벼,2491,산업용 고무제품,0.0005589927345596645
0111,벼,2499,기타 고무제품,0.0007080335432598358
0111,벼,2501,판유리 및 1차 유리제품,0.001075398645618445
0111,벼,2502,전자기기용 유리제품,0.0002979681822784576
0111,벼,2503,산업용 유리제품(전자기기용 제외),0.0005899527620205746
0111,벼,2509,기타 유리제품,0.0006766924763026357
0111,벼,2611,가정용 도자기,0.001514676139286436
0111,벼,2612,산업용 도자기,0.0007117110655940076
0111,벼,2613,내화요업제품,0.0006618167821208434
0111,벼,2614,건설용 비내화요업제품,0.0008521944078532501
0111,벼,2620,시멘트,0.0005693404844132339
0111,벼,2631,레미콘,0.0008383187472107837
0111,벼,2632,콘크리트 제품,0.0008285310803652928
0111,벼,2691,석회 및 석고제품,0.0007821109413100008
0111,벼,2692,석제품,0.0008156356068988233
0111,벼,2693,연마재,0.0006841209156419293
0111,벼,2694,아스콘 및 아스팔트제품,0.0008496566823927396
0111,벼,2699,기타 비금속광물제품,0.0007787565211487432
0111,벼,2711,선철,0.001076881527892559
0111,벼,2712,합금철,0.0004319527297606561
0111,벼,2713,조강,0.0004544894413881775
0111,벼,2721,철근 및 봉강,0.0007279889155058945
0111,벼,2722,형강,0.0006683331655731159
0111,벼,2723,선재 및 궤조,0.0003776074449044194
0111,벼,2724,중후판(두께 3mm 이상),0.0003555063705666105
0111,벼,2725,열연강판,0.0003938269800880529
0111,벼,2726,강선,0.0006620927059383377
0111,벼,2727,철강관,0.0006346045417007194
0111,벼,2730,냉간압연강재,0.0004368731143844706
0111,벼,2791,표면처리강재,0.0003989606748551934
0111,벼,2799,기타 철강1차제품,0.0006734712551525038
0111,벼,2811,"동 제련, 정련 및 합금제품",0.000211522301454499
