원본_업종명,정규화_업종명,KSIC_코드_4자리,KSIC_명칭,매칭_레벨,매칭_방식,매칭_스코어,KSIC_코드_5자리,5자리_모호성,KSIC_코드_11차,변경유형
기타 종교 단체,기타 종교 단체,9491,기타 종교 단체,hwp_5digit,hwp_exact,1.0,94919,False,,
기타 종이 및 판지 제조업,기타 종이 및 판지 제조업,1719,기타 종이 및 판지 제조업,basic,exact,1.0,20112101,True,,
기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,1719,기타 종이 및 판지 제조업,basic,fuzzy,0.9032,20112101,True,,
기타 종이 상자 및 용기 제조업,기타 종이 상자 및 용기 제조업,1722,기타 종이 상자 및 용기 제조업,hwp_5digit,hwp_exact,1.0,17229,False,,
기타 주변기기 제조업,기타 주변기기 제조업,2659,기타 컴퓨터 주변기기 제조업,basic,fuzzy,0.8462,,False,,
기타 주점업,기타 주점업,0919,기타 주류,io_name,io_fuzzy,0.8,11111101,True,,
기타 증류주 및 합성주 제조업,기타 증류주 및 합성주 제조업,1111,증류주 및 합성주 제조업,basic,fuzzy,0.8966,13101100,True,,
기타 직물제품 제조업,기타 직물제품 제조업,1629,기타 목제품 제조업,basic,fuzzy,0.8571,,False,,
기타 창작 및 예술관련 서비스업,기타 창작 및 예술관련 서비스업,9019,그 외 기타 창작 및 예술관련 서비스업,hwp_5digit,hwp_fuzzy,0.8947,90199,False,,
"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",기타 측정 시험 항해 제어 및 정밀기기 제조업,2682,"측정, 시험, 항해, 제어기기 제조업",basic,fuzzy,0.8095,,False,,
기타 토목시설물 건설업,기타 토목시설물 건설업,4122,기타 토목시설물 건설업,hwp_5digit,hwp_exact,1.0,41229,False,,
기타 통신 판매업,기타 통신 판매업,6190,기타 통신업,basic,fuzzy,0.8,,False,,
기타 특수 목적용 기계 제조업,기타 특수 목적용 기계 제조업,2899,기타 특수목적용 기계 제조업,basic,fuzzy,0.9677,,False,,
기타 판유리 가공품 제조업,기타 판유리 가공품 제조업,2319,기타 유리제품 제조업,basic,fuzzy,0.8,,False,,
기타 편조의복 액세서리 제조업,기타 편조의복 액세서리 제조업,1441,기타 편조의복 액세서리 제조업,hwp_5digit,hwp_exact,1.0,14419,False,,
기타 표시장치 제조업,기타 표시장치 제조업,2629,기타 전자표시장치 제조업,basic,fuzzy,0.9167,,False,,
기타 플라스틱 발포 성형제품 제조업,기타 플라스틱 발포 성형제품 제조업,2225,기타 플라스틱 발포 성형제품 제조업,hwp_5digit,hwp_exact,1.0,22259,False,,
기타 플라스틱제품 제조업,기타 플라스틱제품 제조업,2269,기타 프라스틱제품 제조업,basic,fuzzy,0.9231,,False,,
기타 항공 운송지원 서비스업,기타 항공 운송지원 서비스업,5213,항공 운송지원 서비스업,basic,fuzzy,0.8889,,False,,
