원본_업종명,정규화_업종명,KSIC_코드_4자리,KSIC_명칭,매칭_레벨,매칭_방식,매칭_스코어,KSIC_코드_5자리,5자리_모호성,KSIC_코드_11차,변경유형
1차 금속 제조업,1차 금속 제조업,24,1차금속 제조업,mid,fuzzy,0.9412,,False,,
1차 금속제품 도매업,1차 금속제품 도매업,4672,금속광물 도매업,hwp_5digit,hwp_fuzzy_agg,0.75,46722,False,,
1차 금속제품 및 금속광물 도매업,1차 금속제품 및 금속광물 도매업,4672,1차 금속제품 도매업,linkage_11th,link11_fuzzy,0.7586,46721,False,46721,
1차 비철금속 제조업,1차 비철금속 제조업,24,1차금속 제조업,mid,fuzzy,0.8421,,False,,
"1차 유리제품, 유리섬유 및 광학용 유리 제조업",1차 유리제품 유리섬유 및 광학용 유리 제조업,2312,유리섬유 및 광학용 유리 제조업,hwp_5digit,hwp_fuzzy,0.8095,23121,False,,
1차 철강 제조업,1차 철강 제조업,2423,철강선 제조업,basic,fuzzy_agg,0.9231,,False,,
1차 플라스틱제품 제조업,1차 플라스틱제품 제조업,2230,플라스틱 1차제품 제조업,basic,fuzzy_agg,0.8696,,False,,
가공 공작기계 제조업,가공 공작기계 제조업,2922,기타 가공 공작기계 제조업,hwp_5digit,hwp_fuzzy,0.88,29229,False,,
가공 및 정제염 제조업,가공 및 정제염 제조업,2049,가공 및 정제염 제조업,hwp_5digit,hwp_exact,1.0,20492,False,,
가공식품 도매업,가공식품 도매업,4632,육류 가공식품 도매업,hwp_5digit,hwp_fuzzy,0.8421,46321,False,,
가공식품 소매업,가공식품 소매업,4732,가전제품 소매업,hwp_5digit,hwp_fuzzy,0.75,47320,False,,
가구 내 고용활동,가구 내 고용활동,9700,가구 내 고용활동,hwp_5digit,hwp_exact,1.0,97000,False,,
가구 소매업,가구 소매업,4752,가구 소매업,hwp_5digit,hwp_exact,1.0,47520,False,,
가구 제조업,가구 제조업,320,가구 제조업,sub,exact,1.0,,False,,
가금류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,1012,육류 가공 및 저장 처리업,basic,fuzzy,0.8966,,False,,
가금류 도축업,가금류 도축업,1011,가금류 도축업,hwp_5digit,hwp_exact,1.0,10112,False,,
가발 및 유사 제품 제조업,가발 및 유사 제품 제조업,1501,"가죽, 가방 및 유사제품 제조업",basic,fuzzy,0.8,,False,,
가방 및 기타 가죽제품 소매업,가방 및 기타 가죽제품 소매업,4744,가방 및 기타 가죽제품 소매업,hwp_5digit,hwp_exact,1.0,47440,False,,
가방 및 기타 보호용 케이스 제조업,가방 및 기타 보호용 케이스 제조업,1512,가방 및 기타 보호용 케이스 제조업,hwp_5digit,hwp_exact,1.0,15129,False,,
가방 및 보호용 케이스 도매업,가방 및 보호용 케이스 도매업,4649,가방 및 보호용 케이스 도매업,hwp_5digit,hwp_exact,1.0,46491,False,,
"가방, 시계, 안경 및 기타 생활용품 도매업",가방 시계 안경 및 기타 생활용품 도매업,4649,그 외 기타 생활용품 도매업,manual,manual_override,1.0,46499,False,,
가상자산 매매 및 중개업,가상자산 매매 및 중개업,6399,가상자산 매매 및 중개업,linkage_11th,link11_exact,1.0,63992,False,63992,세분
가전제품 및 부품 도매업,가전제품 및 부품 도매업,4652,가전제품 및 부품 도매업,hwp_5digit,hwp_exact,1.0,46521,False,,
가전제품 및 정보통신장비 소매업,가전제품 및 정보통신장비 소매업,4786,중고 가전제품 및 통신장비 소매업,hwp_5digit,hwp_fuzzy,0.8571,47862,False,,
가전제품 소매업,가전제품 소매업,4732,가전제품 소매업,hwp_5digit,hwp_exact,1.0,47320,False,,
가전제품 수리업,가전제품 수리업,9531,가전제품 수리업,hwp_5digit,hwp_exact,1.0,95310,False,,
"가전제품, 통신장비 및 부품 도매업",가전제품 통신장비 및 부품 도매업,4652,가전제품 및 부품 도매업,hwp_5digit,hwp_fuzzy,0.8387,46521,False,,
가정용 가스연료 소매업,가정용 가스연료 소매업,4772,가정용 가스연료 소매업,hwp_5digit,hwp_exact,1.0,47723,False,,
가정용 기기 제조업,가정용 기기 제조업,2750,가정용 기기 제조업,basic,exact,1.0,,False,,
가정용 및 산업용 공기 조화장치 제조업,가정용 및 산업용 공기 조화장치 제조업,2917,가정용 및 산업용 공기 조화장치 제조업,linkage_11th,link11_exact,1.0,29172,False,29172,세분
가정용 및 장식용 도자기 제조업,가정용 및 장식용 도자기 제조업,2322,가정용 및 장식용 도자기 제조업,hwp_5digit,hwp_exact,1.0,23221,False,,
가정용 비전기식 조리 및 난방 기구 제조업,가정용 비전기식 조리 및 난방 기구 제조업,2852,가정용 비전기식 조리 및 난방 기구 제조업,hwp_5digit,hwp_exact,1.0,28520,False,,
가정용 세탁업,가정용 세탁업,9691,가정용 세탁업,hwp_5digit,hwp_exact,1.0,96912,False,,
가정용 액체연료 소매업,가정용 액체연료 소매업,4772,가정용 액체연료 소매업,hwp_5digit,hwp_exact,1.0,47722,False,,
가정용 연료 소매업,가정용 연료 소매업,4772,가정용 액체연료 소매업,hwp_5digit,hwp_fuzzy,0.9091,47722,False,,
가정용 유리제품 제조업,가정용 유리제품 제조업,2312,산업용 유리제품 제조업,basic,fuzzy,0.8333,,False,,
가정용 전기 난방기기 제조업,가정용 전기 난방기기 제조업,2750,가정용 기기 제조업,basic,fuzzy,0.8,,False,,
가정용 전기기기 제조업,가정용 전기기기 제조업,2750,가정용 기기 제조업,basic,fuzzy,0.9091,,False,,
가정용 직물제품 소매업,가정용 직물제품 소매업,4742,가정용 직물제품 소매업,hwp_5digit,hwp_exact,1.0,47421,False,,
가죽 및 모피의복 소매업,가죽 및 모피의복 소매업,4741,가죽 및 모피의복 소매업,hwp_5digit,hwp_exact,1.0,47416,False,,
가죽 및 모피제품 도매업,가죽 및 모피제품 도매업,4641,가죽 및 모피제품 도매업,hwp_5digit,hwp_exact,1.0,46416,False,,
"가죽, 가방 및 신발 제조업",가죽 가방 및 신발 제조업,1501,"가죽, 가방 및 유사제품 제조업",basic,fuzzy,0.8,,False,,
"가죽, 가방 및 유사제품 제조업",가죽 가방 및 유사제품 제조업,1501,"가죽, 가방 및 유사제품 제조업",basic,exact,1.0,,False,,
가죽의복 제조업,가죽의복 제조업,140,의복 제조업,sub,fuzzy,0.8571,,False,,
간이음식 포장 판매 전문점,간이음식 포장 판매 전문점,5619,간이음식 포장 판매 전문점,hwp_5digit,hwp_exact,1.0,56199,False,,
간판 및 광고물 제조업,간판 및 광고물 제조업,3391,간판 및 광고물 제조업,hwp_5digit,hwp_exact,1.0,33910,False,,
감광재료 및 관련 화학제품 제조업,감광재료 및 관련 화학제품 제조업,2049,감광재료 및 관련 화학제품 제조업,hwp_5digit,hwp_exact,1.0,20491,False,,
강관 가공품 및 관 연결구류 제조업,강관 가공품 및 관 연결구류 제조업,2413,강관 가공품 및 관 연결구류 제조업,hwp_5digit,hwp_exact,1.0,24133,False,,
강관 제조업,강관 제조업,2430,철강관 제조업,basic,fuzzy,0.9231,,False,,
강선 건조업,강선 건조업,3011,강선 건조업,basic,exact,1.0,25111101,True,,
강주물 주조업,강주물 주조업,2431,강주물 주조업,hwp_5digit,hwp_exact,1.0,24312,False,,
강화 및 재생 목재 제조업,강화 및 재생 목재 제조업,1313,강화 및 재생목재,io_name,io_fuzzy,0.9474,16212101,True,,
개발금융기관,개발금융기관,6491,개발금융기관,hwp_5digit,hwp_exact,1.0,64912,False,,
개인 간병 및 유사 서비스업,개인 간병 및 유사 서비스업,9699,개인 간병 및 유사 서비스업,hwp_5digit,hwp_exact,1.0,96993,False,,
개인 공제업,개인 공제업,6530,개인 공제업,hwp_5digit,hwp_exact,1.0,65301,False,,
개인 및 가정용품 수리업,개인 및 가정용품 수리업,9410,개인 및 소비용품 수리업,basic,fuzzy,0.8462,,False,,
개인 및 가정용품 임대업,개인 및 가정용품 임대업,6929,그 외 기타 개인 및 가정용품 임대업,hwp_5digit,hwp_fuzzy,0.7879,69299,False,,
개인 및 소비용품 수리업,개인 및 소비용품 수리업,9410,개인 및 소비용품 수리업,basic,exact,1.0,,False,,
개인 화물자동차 운송업,개인 화물자동차 운송업,4930,개별 화물자동차 운송업,hwp_5digit,hwp_fuzzy,0.9167,49303,False,,
건강기능식품 제조업,건강기능식품 제조업,1079,건강기능식품 제조업,hwp_5digit,hwp_exact,1.0,10797,False,,
건강보조식품 소매업,건강보조식품 소매업,4721,건강보조식품 소매업,hwp_5digit,hwp_exact,1.0,47217,False,,
건강보조용 액화식품 제조업,건강보조용 액화식품 제조업,1079,건강보조용 액화식품 제조업,hwp_5digit,hwp_exact,1.0,10796,False,,
건물 건설업,건물 건설업,4111,주거용 건물 건설업,manual,manual_override,1.0,41110,False,,
건물 및 구축물 해체 공사업,건물 및 구축물 해체 공사업,4211,건물 및 구축물 해체 공사업,hwp_5digit,hwp_exact,1.0,42110,False,,
건물 및 산업설비 청소업,건물 및 산업설비 청소업,7421,건축물 일반 청소업,manual,manual_override,1.0,74211,False,,
건물 및 토목 엔지니어링 서비스업,건물 및 토목 엔지니어링 서비스업,7212,건물 및 토목 엔지니어링 서비스업,hwp_5digit,hwp_exact,1.0,72121,False,,
건물ㆍ산업설비 청소 및 방제 서비스업,건물산업설비 청소 및 방제 서비스업,7421,건축물 일반 청소업,manual,manual_override,1.0,74211,False,,
건물설비 설치 공사업,건물설비 설치 공사업,4220,기타 건물 관련설비 설치 공사업,hwp_5digit,hwp_fuzzy,0.7857,42209,False,,
건물용 금속공작물 설치 공사업,건물용 금속공작물 설치 공사업,4249,건물용 금속공작물 설치 공사업,hwp_5digit,hwp_exact,1.0,42492,False,,
건물용 기계 및 장비 설치 공사업,건물용 기계 및 장비 설치 공사업,4220,건물용 기계ㆍ장비 설치 공사업,linkage_11th,link11_fuzzy,0.9091,42202,False,42202,세분
건반 악기 제조업,건반 악기 제조업,3303,악기 제조업,basic,fuzzy,0.8,,False,,
건설 및 광업용 기계장비 제조업,건설 및 광업용 기계장비 제조업,2862,건설 및 광업용 기계장비 제조업,basic,exact,1.0,,False,,
건설 및 운송 행정,건설 및 운송 행정,8422,건설 및 운송 행정,hwp_5digit,hwp_exact,1.0,84223,False,,
건설 및 채광용 기계장비 제조업,건설 및 채광용 기계장비 제조업,2862,건설 및 광업용 기계장비 제조업,basic,fuzzy,0.9412,,False,,
건설 및 토목공사용 기계ㆍ장비 임대업,건설 및 토목공사용 기계장비 임대업,6931,건설 및 토목공사용 기계장비 임대업,hwp_5digit,hwp_exact,1.0,69310,False,,
"건설 폐기물 수집, 운반업",건설 폐기물 수집 운반업,3813,"건설 폐기물 수집, 운반업",hwp_5digit,hwp_exact,1.0,38130,False,,
건설 폐기물 처리업,건설 폐기물 처리업,3823,건설 폐기물 처리업,hwp_5digit,hwp_exact,1.0,38230,False,,
건설ㆍ광업용 기계 및 장비 도매업,건설광업용 기계 및 장비 도매업,4653,건설ㆍ광업용 기계 및 장비 도매업,hwp_5digit,hwp_exact,1.0,46532,False,,
건설ㆍ광업용 기계 및 장비 수리업,건설광업용 기계 및 장비 수리업,3400,산업용 기계 및 장비 수리업,basic,fuzzy,0.875,,False,,
건설용 석재 채굴 및 쇄석 생산업,건설용 석재 채굴 및 쇄석 생산업,0712,건설용 석재 채굴 및 쇄석 생산업,hwp_5digit,hwp_exact,1.0,07121,False,,
건설용 석제품 제조업,건설용 석제품 제조업,1621,건축용 목제품 제조업,basic,fuzzy,0.8182,19210108,False,,
건설장비 운영업,건설장비 운영업,4260,건설장비 운영업,hwp_5digit,hwp_exact,1.0,42600,False,,
건어물 및 젓갈류 도매업,건어물 및 젓갈류 도매업,4631,건어물 및 젓갈류 도매업,hwp_5digit,hwp_exact,1.0,46314,False,,
건축 및 조경 설계 서비스업,건축 및 조경 설계 서비스업,7211,도시계획 및 조경설계 서비스업,hwp_5digit,hwp_fuzzy,0.7742,72112,False,,
"건축기술, 엔지니어링 및 관련 기술 서비스업",건축기술 엔지니어링 및 관련 기술 서비스업,7212,기타 엔지니어링 서비스업,manual,manual_override,1.0,72129,False,,
"건축기술, 엔지니어링 및 기타 과학기술 서비스업",건축기술 엔지니어링 및 기타 과학기술 서비스업,7212,기타 엔지니어링 서비스업,manual,manual_override,1.0,72129,False,,
건축물 일반 청소업,건축물 일반 청소업,7421,건축물 일반 청소업,hwp_5digit,hwp_exact,1.0,74211,False,,
건축설계 및 관련 서비스업,건축설계 및 관련 서비스업,7211,건축설계 및 관련 서비스업,hwp_5digit,hwp_exact,1.0,72111,False,,
건축용 비내화 요업제품 제조업,건축용 비내화 요업제품 제조업,2320,"내화, 비내화 요업제품 제조업",basic,fuzzy,0.8387,,False,,
건축용 플라스틱제품 제조업,건축용 플라스틱제품 제조업,2261,건축용 프라스틱제품 제조업,basic,fuzzy,0.9286,,False,,
"건축자재, 철물 및 난방장치 도매업",건축자재 철물 및 난방장치 도매업,4662,배관 및 냉ㆍ난방장치 도매업,manual,manual_override,1.0,46621,False,,
겉옷 제조업,겉옷 제조업,1411,여자용 겉옷 제조업,hwp_5digit,hwp_fuzzy,0.75,14112,False,,
게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,5820,소프트웨어 개발 및 공급업,basic,fuzzy,0.9032,55101,True,,
"게임용구, 인형 및 장난감 소매업",게임용구 인형 및 장난감 소매업,4764,"게임용구, 인형 및 장난감 소매업",hwp_5digit,hwp_exact,1.0,47640,False,,
결혼 상담 및 준비 서비스업,결혼 상담 및 준비 서비스업,9699,결혼 상담 및 준비 서비스업,hwp_5digit,hwp_exact,1.0,96994,False,,
경 인쇄업,경 인쇄업,1811,경 인쇄업,hwp_5digit,hwp_exact,1.0,18111,False,,
경기장 운영업,경기장 운영업,9111,실외 경기장 운영업,hwp_5digit,hwp_fuzzy,0.8235,91112,False,,
경비 및 경호 서비스업,경비 및 경호 서비스업,7531,경비 및 경호 서비스업,hwp_5digit,hwp_exact,1.0,75310,False,,
"경비, 경호 및 탐정업",경비 경호 및 탐정업,7531,경비 및 경호 서비스업,manual,manual_override,1.0,75310,False,,
경성 인쇄회로기판 제조업,경성 인쇄회로기판 제조업,2622,경성 인쇄회로기판 제조업,hwp_5digit,hwp_exact,1.0,26222,False,,
경영 컨설팅 및 공공 관계 서비스업,경영 컨설팅 및 공공 관계 서비스업,7153,경영 컨설팅업,hwp_5digit,split_first,0.7778,71531,False,,
경영 컨설팅업,경영 컨설팅업,7153,경영 컨설팅업,hwp_5digit,hwp_exact,1.0,71531,False,,
경제 및 경영학 연구개발업,경제 및 경영학 연구개발업,7020,경제 및 경영학 연구개발업,hwp_5digit,hwp_exact,1.0,70201,False,,
경주장 및 동물 경기장 운영업,경주장 및 동물 경기장 운영업,9111,경주장 및 동물 경기장 운영업,hwp_5digit,hwp_exact,1.0,91113,False,,
계면활성제 제조업,계면활성제 제조업,2042,계면활성제 제조업,hwp_5digit,hwp_exact,1.0,20421,False,,
계약배달 판매업,계약배달 판매업,4799,계약배달 판매업,hwp_5digit,hwp_exact,1.0,47992,False,,
고무 및 플라스틱제품 제조업,고무 및 플라스틱제품 제조업,22,고무 및 플라스틱 제조업,mid,fuzzy,0.9286,,False,,
고무 의류 및 기타 위생용 비경화 고무제품 제조업,고무 의류 및 기타 위생용 비경화 고무제품 제조업,2219,고무 의류 및 기타 위생용 비경화 고무제품 제조업,hwp_5digit,hwp_exact,1.0,22193,False,,
고무 타이어 및 튜브 제조업,고무 타이어 및 튜브 제조업,2210,고무 타이어 및 튜브 제조업,basic,exact,1.0,,False,,
"고무, 화학섬유 및 플라스틱 성형기 제조업",고무 화학섬유 및 플라스틱 성형기 제조업,2894,"고무, 화학섬유 및 플라스틱 성형기 제조업",basic,exact,1.0,,False,,
고무제품 제조업,고무제품 제조업,2229,기타 고무제품 제조업,basic,fuzzy,0.8421,,False,,
고무패킹류 제조업,고무패킹류 제조업,2219,고무패킹류 제조업,hwp_5digit,hwp_exact,1.0,22191,False,,
고용 알선업,고용 알선업,7511,고용 알선업,hwp_5digit,hwp_exact,1.0,75110,False,,
고용알선 및 인력공급업,고용알선 및 인력공급업,7800,고용알선 및 인력공급업,basic,exact,1.0,,False,,
고체연료 및 관련제품 도매업,고체연료 및 관련제품 도매업,4671,고체연료 및 관련제품 도매업,hwp_5digit,hwp_exact,1.0,46711,False,,
곡물 가공품 제조업,곡물 가공품 제조업,1061,기타 곡물 가공품 제조업,hwp_5digit,hwp_fuzzy,0.8696,10619,False,,
곡물 도정업,곡물 도정업,1061,곡물 도정업,basic,exact,1.0,,False,,
곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,0111,곡물 및 식량작물 재배업,basic,fuzzy,0.8966,01110,False,,
곡물 및 유지작물 도매업,곡물 및 유지작물 도매업,4620,곡물 및 유지작물 도매업,hwp_5digit,hwp_exact,1.0,46201,False,,
곡물 제분업,곡물 제분업,1061,곡물 제분업,hwp_5digit,hwp_exact,1.0,10612,False,,
곡물 혼합분말 및 반죽 제조업,곡물 혼합분말 및 반죽 제조업,1061,곡물 혼합분말 및 반죽 제조업,hwp_5digit,hwp_exact,1.0,10613,False,,
"곡물, 곡분 및 가축 사료 소매업",곡물 곡분 및 가축 사료 소매업,4721,"곡물, 곡분 및 가축 사료 소매업",hwp_5digit,hwp_exact,1.0,47211,False,,
"곡물가공품, 전분 및 전분제품 제조업",곡물가공품 전분 및 전분제품 제조업,106,"곡물가공품, 전분 및 전분제품 제조업",sub,exact,1.0,,False,,
"골재, 벽돌 및 시멘트 도매업",골재 벽돌 및 시멘트 도매업,4661,"골재, 벽돌 및 시멘트 도매업",hwp_5digit,hwp_exact,1.0,46612,False,,
골판지 및 골판지 가공제품 제조업,골판지 및 골판지 가공제품 제조업,1721,골판지 및 골판지 상자 제조업,basic,fuzzy,0.8235,20121101,True,,
골판지 상자 및 가공제품 제조업,골판지 상자 및 가공제품 제조업,1721,골판지 상자 및 가공제품 제조업,hwp_5digit,hwp_exact,1.0,17212,False,,
골판지 제조업,골판지 제조업,1721,골판지 제조업,hwp_5digit,hwp_exact,1.0,17211,False,,
"골판지, 종이 상자 및 종이 용기 제조업",골판지 종이 상자 및 종이 용기 제조업,1722,판지 상자 및 용기 제조업,hwp_5digit,hwp_fuzzy,0.8,17222,False,,
골프연습장 운영업,골프연습장 운영업,9113,골프연습장 운영업,hwp_5digit,hwp_exact,1.0,91136,False,,
골프장 및 스키장 운영업,골프장 및 스키장 운영업,9112,골프장 운영업,hwp_5digit,split_first,0.8333,91121,False,,
골프장 운영업,골프장 운영업,9112,골프장 운영업,hwp_5digit,hwp_exact,1.0,91121,False,,
공공관계 서비스업,공공관계 서비스업,7153,공공관계 서비스업,hwp_5digit,hwp_exact,1.0,71532,False,,
"공공행정, 국방 및 사회보장 행정",공공행정 국방 및 사회보장 행정,82,"공공행정, 국방 및 사회보장",mid,fuzzy,0.9032,,False,,
공구 소매업,공구 소매업,3093,공구류,io_name,io_fuzzy,0.8,25933101,True,,
공연 기획업,공연 기획업,9019,공연 기획업,hwp_5digit,hwp_exact,1.0,90191,False,,
공연 예술가,공연 예술가,9013,공연 예술가,hwp_5digit,hwp_exact,1.0,90131,False,,
공연시설 운영업,공연시설 운영업,9011,공연시설 운영업,hwp_5digit,hwp_exact,1.0,90110,False,,
공영 우편업,공영 우편업,6110,공영 우편업,hwp_5digit,hwp_exact,1.0,61100,False,,
공인회계사업,공인회계사업,7120,공인회계사업,hwp_5digit,hwp_exact,1.0,71201,False,,
공작용 기계 및 장비 도매업,공작용 기계 및 장비 도매업,4653,공작용 기계 및 장비 도매업,hwp_5digit,hwp_exact,1.0,46533,False,,
공학 연구개발업,공학 연구개발업,7012,기타 공학 연구개발업,hwp_5digit,hwp_fuzzy,0.8421,70129,False,,
공항 운영업,공항 운영업,5293,공항 운영업,hwp_5digit,hwp_exact,1.0,52931,False,,
과실 및 그 외 채소 절임식품 제조업,과실 및 그 외 채소 절임식품 제조업,1030,과실 및 그 외 채소 절임식품 제조업,hwp_5digit,hwp_exact,1.0,10302,False,,
"과실, 채소 가공 및 저장 처리업",과실 채소 가공 및 저장 처리업,1030,"과일, 채소 가공 및 저장 처리업",basic,fuzzy,0.9412,,False,,
과실류 도매업,과실류 도매업,0122,과실,io_name,io_fuzzy,0.8,01131,True,,
과실작물 재배업,과실작물 재배업,011,작물 재배업,sub,fuzzy,0.8571,,False,,
과자류 및 코코아 제품 제조업,과자류 및 코코아 제품 제조업,1071,과자류 및 코코아 제품 제조업,hwp_5digit,hwp_exact,1.0,10713,False,,
광고 대행업,광고 대행업,7131,광고 대행업,hwp_5digit,hwp_exact,1.0,71310,False,,
광고 영화 및 비디오물 제작업,광고 영화 및 비디오물 제작업,5911,광고 영화 및 비디오물 제작업,hwp_5digit,hwp_exact,1.0,59113,False,,
"광고물 문안, 도안, 설계 등 작성업",광고물 문안 도안 설계 등 작성업,7139,"광고물 문안, 도안, 설계 등 작성업",hwp_5digit,hwp_exact,1.0,71393,False,,
광고업,광고업,6930,광고업,basic,exact,1.0,,False,,
광물처리 및 취급장비 제조업,광물처리 및 취급장비 제조업,2924,광물처리 및 취급장비 제조업,hwp_5digit,hwp_exact,1.0,29242,False,,
광섬유 케이블 제조업,광섬유 케이블 제조업,2830,광섬유 케이블 제조업,hwp_5digit,hwp_exact,1.0,28301,False,,
광업 지원 서비스업,광업 지원 서비스업,7012,광업 지원 서비스업,basic,exact,1.0,,False,,
광학렌즈 및 광학요소 제조업,광학렌즈 및 광학요소 제조업,2730,광학렌즈 및 광학요소 제조업,hwp_5digit,hwp_exact,1.0,27301,False,,
교과서 및 학습서적 출판업,교과서 및 학습서적 출판업,5811,교과서 및 학습서적 출판업,hwp_5digit,hwp_exact,1.0,58111,False,,
"교량, 터널 및 철도 건설업",교량 터널 및 철도 건설업,4122,"교량, 터널 및 철도 건설업",hwp_5digit,hwp_exact,1.0,41222,False,,
교육 서비스업,교육 서비스업,8400,교육서비스업,basic,fuzzy,0.9231,,False,,
교육관련 자문 및 평가업,교육관련 자문 및 평가업,8570,교육관련 자문 및 평가업,hwp_5digit,hwp_exact,1.0,85701,False,,
교육지원 서비스업,교육지원 서비스업,8400,교육서비스업,basic,fuzzy,0.8,,False,,
교통 신호장치 제조업,교통 신호장치 제조업,2890,교통 신호장치 제조업,hwp_5digit,hwp_exact,1.0,28903,False,,
구두류 제조업,구두류 제조업,1521,구두류 제조업,hwp_5digit,hwp_exact,1.0,15211,False,,
구름베어링 제조업,구름베어링 제조업,2914,구름베어링 제조업,hwp_5digit,hwp_exact,1.0,29141,False,,
구조용 금속 판제품 및 공작물 제조업,구조용 금속 판제품 및 공작물 제조업,2511,구조용 금속 판제품 및 공작물 제조업,hwp_5digit,hwp_exact,1.0,25112,False,,
구조용 금속제품 제조업,구조용 금속제품 제조업,2511,구조용 금속제품 제조업,basic,exact,1.0,,False,,
"구조용 금속제품, 탱크 및 증기발생기 제조업",구조용 금속제품 탱크 및 증기발생기 제조업,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",sub,exact,1.0,,False,,
국내은행,국내은행,6412,국내은행,hwp_5digit,hwp_exact,1.0,64121,False,,
귀금속 및 관련제품 제조업,귀금속 및 관련제품 제조업,3311,귀금속 및 관련제품 제조업,hwp_5digit,hwp_exact,1.0,33110,False,,
귀금속 및 장신용품 제조업,귀금속 및 장신용품 제조업,3304,귀금속 및 장신용품 제조업,basic,exact,1.0,,False,,
그 외 금속 압형제품 제조업,그 외 금속 압형제품 제조업,2522,금속 압형제품 제조업,basic,fuzzy,0.8462,,False,,
그 외 금속파스너 및 나사제품 제조업,그 외 금속파스너 및 나사제품 제조업,2594,그 외 금속파스너 및 나사제품 제조업,hwp_5digit,hwp_exact,1.0,25942,False,,
그 외 기타 1차 철강 제조업,그 외 기타 1차 철강 제조업,2419,그 외 기타 1차 철강 제조업,hwp_5digit,hwp_exact,1.0,24199,False,,
그 외 기타 가구 제조업,그 외 기타 가구 제조업,3209,기타 가구 제조업,basic,fuzzy,0.8182,26212100,True,,
그 외 기타 가정용품 소매업,그 외 기타 가정용품 소매업,4759,그 외 기타 분류 안된 가정용품 소매업,hwp_5digit,hwp_fuzzy,0.8333,47599,False,,
그 외 기타 개인 및 가정용품 수리업,그 외 기타 개인 및 가정용품 수리업,9539,그 외 기타 개인 및 가정용품 수리업,hwp_5digit,hwp_exact,1.0,95399,False,,
그 외 기타 개인 및 가정용품 임대업,그 외 기타 개인 및 가정용품 임대업,6929,그 외 기타 개인 및 가정용품 임대업,hwp_5digit,hwp_exact,1.0,69299,False,,
그 외 기타 개인 서비스업,그 외 기타 개인 서비스업,9500,기타 개인 서비스업,basic,fuzzy,0.8333,,False,,
그 외 기타 거주 복지시설 운영업,그 외 기타 거주 복지시설 운영업,8713,그 외 기타 거주 복지시설 운영업,hwp_5digit,hwp_exact,1.0,87139,False,,
그 외 기타 건축 마무리 공사업,그 외 기타 건축 마무리 공사업,4249,그 외 기타 건축 마무리 공사업,hwp_5digit,hwp_exact,1.0,42499,False,,
그 외 기타 건축자재 도매업,그 외 기타 건축자재 도매업,4669,그 외 기타 건축자재 도매업,hwp_5digit,hwp_exact,1.0,46699,False,,
그 외 기타 고무제품 제조업,그 외 기타 고무제품 제조업,2229,기타 고무제품 제조업,basic,fuzzy,0.8462,,False,,
그 외 기타 광고 관련 서비스업,그 외 기타 광고 관련 서비스업,5290,기타 운송 관련 서비스업,basic,fuzzy_agg,0.8462,,False,,
그 외 기타 교육기관,그 외 기타 교육기관,8569,그 외 기타 분류 안된 교육기관,hwp_5digit,hwp_fuzzy,0.7857,85699,False,,
그 외 기타 금속가공업,그 외 기타 금속가공업,2592,그 외 기타 금속가공업,hwp_5digit,hwp_exact,1.0,25929,False,,
그 외 기타 금속가공제품 제조업,그 외 기타 금속가공제품 제조업,2599,기타 금속가공제품 제조업,basic,fuzzy,0.8667,,False,,
그 외 기타 금융 지원 서비스업,그 외 기타 금융 지원 서비스업,8000,기타 사업지원 서비스업,basic,fuzzy_agg,0.8,,False,,
그 외 기타 금융업,그 외 기타 금융업,6491,그 외 기타 여신금융업,hwp_5digit,hwp_fuzzy,0.9091,64919,False,,
그 외 기타 기계 및 장비 도매업,그 외 기타 기계 및 장비 도매업,4659,그 외 기타 기계 및 장비 도매업,hwp_5digit,hwp_exact,1.0,46599,False,,
그 외 기타 나무제품 제조업,그 외 기타 나무제품 제조업,2229,기타 고무제품 제조업,basic,fuzzy_agg,0.9091,,False,,
그 외 기타 달리 분류되지 않은 개인 서비스업,그 외 기타 달리 분류되지 않은 개인 서비스업,9500,기타 개인 서비스업,basic,exact_agg,1.0,,False,,
그 외 기타 달리 분류되지 않은 운송장비 제조업,그 외 기타 달리 분류되지 않은 운송장비 제조업,3190,기타 운송장비 제조업,basic,exact_agg,1.0,,False,,
그 외 기타 달리 분류되지 않은 제품 제조업,그 외 기타 달리 분류되지 않은 제품 제조업,1629,기타 목제품 제조업,basic,fuzzy_agg,0.9474,,False,,
그 외 기타 무점포 소매업,그 외 기타 무점포 소매업,4799,그 외 기타 무점포 소매업,hwp_5digit,hwp_exact,1.0,47999,False,,
그 외 기타 보건업,그 외 기타 보건업,4290,기타 건설업,basic,fuzzy_agg,0.8333,,False,,
그 외 기타 봉제의복 제조업,그 외 기타 봉제의복 제조업,1401,봉제의복 제조업,basic,fuzzy_agg,0.8421,,False,,
그 외 기타 분류 안된 가정용품 소매업,그 외 기타 분류 안된 가정용품 소매업,4759,그 외 기타 분류 안된 가정용품 소매업,hwp_5digit,hwp_exact,1.0,47599,False,,
그 외 기타 분류 안된 개인 서비스업,그 외 기타 분류 안된 개인 서비스업,9129,그 외 기타 분류 안된 오락관련 서비스업,hwp_5digit,hwp_fuzzy,0.8571,91299,False,,
