회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(사)한국예술문화단체총연합회,THE FEDERATION OF ARTISTIC & CULTURAL ORGANIZATIONS OF KOREA,(사)한국예술문화단체총연합회, ,조강훈,기타법인,110121-0003435,208-82-02796,"서울특별시 양천구 목동서로 225 (목동, 대한민국예술인센터)", ,,협회 및 단체,1961-12-05,12월
(주)21세기기아자동차회사,21C KIA-MOTOR,21세기기아자동차회사, ,김재성,기타법인,285011-0585288,490-86-03387,경기도 고양시 일산동구 고양대로 900-28 (풍동),경기도 고양시 일산동구 풍동,,자동차 종합 수리업,2024-11-25,12월
주식회사 AS상조,"assangjo.co.,ltd",AS상조, ,이연순,기타법인,141111-0030086,226-81-36619,강원도 강릉시 교2동 711-13 AS빌딩,www.assangjo.com,,장례식장 및 장의관련 서비스업,2007-04-25,12월
재단법인 DB김준기문화재단,DB Kim Jun Ki Cultural Foundation,DB김준기문화재단, ,이근영,기타법인,110122-0023077,201-82-30646,"서울특별시 강남구 테헤란로 432 (대치동, DB금융센터) 33층",www.dbfoundation.or.kr/,,그 외 기타 협회 및 단체,1992-03-25,12월
Kornhill Management Ltd,Kornhill Management Ltd,KornhillManagementLtd, ,FUNG Wing Ha,기타법인, ,2002-019,"IFS Chambers,Roadtown, Tortola, British Virgin Islands", ,,그 외 기타 분류 안된 개인 서비스업,2000-08-16,12월
SK네트웍스서비스,SK Networks Service,SK네트웍스서비스, ,전형일,기타법인,135811-0141788,135-81-92479,"경기도 수원시 장안구 장안로 120 (정자동, 세기빌딩) 5층 SK네트웍스서비스",www.sknservice.com,http://www.sknservice.com,통신장비 수리업,2007-07-10,12월
(재)간송미술문화재단,kansong art & culture foundation,간송미술문화재단, ,전영우,기타법인,110122-0107045,209-82-11584,"서울특별시 성북구 성북로 102-11 (성북동, 간송미술관)",www.kansong.org,,협회 및 단체,2013-07-30,12월
재단법인감산장학회, ,감산장학회, ,고희석,기타법인,110122-0030486,101-82-06531,"서울특별시 강남구 밤고개로1길 10 1819호 (수서동, 수서현대벤쳐빌)", ,,그 외 기타 협회 및 단체,1998-11-30,12월
갑지오토서비스(주),Kabjiautoservice.co.ltd,갑지오토서비스, ,윤덕수,기타법인,134111-0041529,138-81-03878,경기도 안양시 동안구 관양동934-8, ,,자동차 종합 수리업,1995-05-10,12월
갓바위워터피아온천(주),GATBAWI WATERPIASPA.CO.LTD,갓바위워터피아온천, ,류홍훈,기타법인,174811-0024945,515-81-19183,경상북도 경산시 와촌면 팔공로 237-14, ,,욕탕업,2000-12-15,12월
