회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
루더비즈 코리아 (주),"Miservant Co.,Ltd",루더비즈코리아, ,김경순,기타법인,131111-0070323,129-81-47474,경기도 성남시 분당구 금곡동 210 트리폴리스 스타타워 2709,http://www.myservant.co.kr,,가구 내 고용활동,2002-01-04,01월
(주)해덕,hae duk,해덕, ,김형현,기타법인,200111-0440952,396-88-00122,"광주광역시 서구 상무중앙로 114 (치평동, 랜드피아) 202호", ,,자가 소비를 위한 가사 생산 활동,2015-09-21,12월
